metric,mkl_era_value_reconciliation_csv,openblas_fresh_rerun_value,verdict,note
Top 5 / Top 10 catchments combined (AHP),"2,141 (35.5%) / 2,825 (46.8%)","2,141 (35.5%) / 2,825 (46.8%)",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Single-settlement municipality count,32,32,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Mean / median catchment size,28.5 / 6.0,28.5 / 6.0,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Ljubljana disagreements under AHP vs ML,939,939,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Beta sensitivity kappa range,0.732 to 0.826,0.732 to 0.826,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Ljubljana catchment size by beta (1.5/2.0/2.5/3.0),"2,057 / 1,216 / 645 / 364","2,057 / 1,216 / 645 / 364",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Euclidean vs network agreement / kappa,"88.49% (5,341/6,036) / 0.8795","88.49% (5,341/6,036) / 0.8795",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
RF AHP-target: mean R2 +/- sd,0.8457 +/- 0.0865 (population sd),0.8457 +/- 0.0773 (population sd),IDENTICAL (mean); sd recomputed with correct population formula this pass -- see note,"Per-fold R2 IDENTICAL to 4 decimal places (0.8752/0.9049/0.8589/0.8952/0.6943, both runs). The 'sd' figure in reconciliation.csv (0.0865) does not match a population-stdev of these 5 values (actual: 0.0773) -- that discrepancy predates this session and is a units/formula question for reconciliation.csv, not a BLAS effect (RF itself doesn't touch BLAS/LAPACK; Cython split-finding + impurity accumulation only)."
RF NW-target: mean R2 +/- sd (POST-refit baseline),"0.8547 +/- 0.0600 (this session, pre-this-rerun, OpenBLAS)",0.8547 +/- 0.0537,"IDENTICAL (mean); sd differs by formula, same issue as AHP row","IMPORTANT SCOPING NOTE: reconciliation.csv's own stored NW-target row (0.844 +/- 0.066) is the PRE-NW-refit value (NW model still leaking GI_AHP as a feature) -- comparing this rerun directly against that number would conflate the NW-refit fix with the BLAS swap. The correct isolated-BLAS-effect comparison is against this session's own prior POST-refit OpenBLAS run (folds 0.8608/0.9192/0.8434/0.8895/0.7604, identical to this pass to 4 decimals). reconciliation.csv itself still needs a separate update for the NW-refit, outside this report's scope."
RF AHP-target feature importance by group,"Distance 62.53%, GI_AHP 22.69%, Accessibility 7.19%, Individual GI 6.84%, Municipality area 0.75%","Distance 62.53%, GI_AHP 22.69%, Accessibility 7.19%, Individual GI 6.84%, Municipality area 0.75%",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
RF NW-target feature importance by group (POST-refit baseline),"Distance 69.27%, GI_NW 17.99%, Accessibility 5.46%, Individual GI 5.00%, Municipality area 2.39% (this session, pre-this-rerun)","Distance 69.16%, GI_NW 17.99%, Accessibility 5.46%, Individual GI 5.00%, Municipality area 2.39%",IDENTICAL,"reconciliation.csv's stored row (GI_AHP 13.33%) is PRE-refit, not comparable -- see note above. Distance moved 69.27%->69.16% (0.11pp, float noise from parallel RF prediction averaging, same class of noise already documented for ml_AHP_vs_AHP_comparison.csv's individual Pij_predicted values)."
AHP vs NW agreement / kappa,"88.62% (5,349/6,036) / 0.8808","88.62% (5,349/6,036) / 0.8808",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
AHP vs ML agreement / kappa,"75.31% (4,546/6,036) / 0.7472","75.31% (4,546/6,036) / 0.7472",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
NW vs ML agreement / kappa (POST-refit baseline),"78.98% (4,767/6,036) / 0.7856 (this session, pre-this-rerun, OpenBLAS)","78.98% (4,767/6,036) / 0.7856",IDENTICAL,"reconciliation.csv's stored row (75.51%/4,558, kappa 0.7511) is PRE-refit -- not a BLAS comparison. Matches this session's own prior post-refit OpenBLAS run exactly."
"RF(AHP) vs RF(NW) agreement / kappa (POST-refit baseline, no reconciliation.csv row exists)","80.86% (4,881/6,036) / 0.8053 (this session, pre-this-rerun, OpenBLAS)","80.86% (4,881/6,036) / 0.8053",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
"Moran's I, AHP vs NW (I/z/p)",0.1838 / 23.68 / 0.001,0.1838 / 23.68 / 0.001,IDENTICAL,z is a 999-permutation Monte Carlo estimate (documented as fluctuating run-to-run by design); matched exactly here anyway.
"Moran's I, AHP vs ML (I/z/p)",0.4725 / 63.71 / 0.001,0.4725 / 63.71 / 0.001,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
"Moran's I, NW vs ML (I/z/p) (POST-refit baseline)","0.4403 / 57.18 / 0.001 (this session, pre-this-rerun)",0.4403 / 57.18 / 0.001,IDENTICAL,reconciliation.csv's stored row (0.4452/55.78) is PRE-refit -- not a BLAS comparison.
"Moran's I, MLAHP vs MLNW (I/z/p) (POST-refit baseline, no reconciliation.csv row exists)","0.3608 / 46.20 / 0.001 (this session, pre-this-rerun)",0.3608 / 46.20 / 0.001,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Join counts AHP vs NW (BB/WW/BW/chi2),BB=14281 WW=525 BW=2939 chi2=510.7,BB=14281 WW=525 BW=2939 chi2=510.68,IDENTICAL,"Also a 999-permutation esda statistic (Join_Counts, same family as Moran_Local/LISA) -- but STABLE across the BLAS swap, unlike LISA. Notable contrast: not every permutation-based esda statistic on this data is equally BLAS/threading-sensitive."
Join counts AHP vs ML / NW vs ML / MLAHP vs MLNW (POST-refit baseline for the ML rows),"BB=11499/11907/n-a (pre-refit values in reconciliation.csv, not comparable for ML/NW rows)","BB=11523/12253/12493, chi2=3723.4/3215.3/2129.4",IDENTICAL,"AHP vs ML row IS a clean pre/post-refit-independent comparison since Model 1 never changed: reconciliation.csv's stored BB=11499 vs this rerun's BB=11523 -- a real but tiny (24-count, 0.2%) difference, plausibly float-noise propagating through the permutation draws; not investigated further as it does not change any conclusion (chi2 both overwhelmingly significant, p<0.001 both)."
LISA AHP vs NW (HH/LL/HL/LH/not-sig),"HH=1105 LL=296 HL=626 LH=162 not_sig=3847 (Stage 3, 2026-08-26, MKL)",HH=246 LL=296 HL=626 LH=162 not_sig=4706,"DIFFERS -- diagnosed root cause, NOT reproducible enough to publish as a single-run figure","Full diagnosis already delivered to the user in this conversation: 10 seeds under OpenBLAS gave HH=246 with ZERO variance every time (999 and 9,999 permutations both), so this is not seed noise. Reproducing the MKL environment now crashes 3/3 attempts -- MKL cannot even complete this computation anymore, so the original 1,105 cannot be independently verified as a valid number at all, only as a value that was once written to disk before MKL started failing outright. Recommendation already given: use the OpenBLAS value (246), do not cite anything computed under the pre-fix MKL environment."
LISA AHP vs ML (HH/LL/HL/LH/not-sig),"HH=338 LL=820 HL=304 LH=87 not_sig=4487 (Stage 3, MKL)",HH=338 LL=820 HL=304 LH=87 not_sig=4487,IDENTICAL,"Unaffected comparison, happened to be perfectly stable here too -- but per the AHP-vs-NW seed test, this should NOT be assumed stable in general without its own seed test; it simply landed on the same classification this particular run."
"LISA NW vs ML / MLAHP vs MLNW (POST-refit baseline, no reconciliation.csv row exists)","HH=104 LL=602 HL=321 LH=82 not_sig=4927 / HH=6 LL=470 HL=254 LH=98 not_sig=5208 (this session, pre-this-rerun, OpenBLAS)",HH=104 LL=602 HL=321 LH=82 not_sig=4927 / HH=6 LL=470 HL=254 LH=98 not_sig=5208,IDENTICAL,Matches this session's own prior post-refit OpenBLAS LISA run exactly -- but see the AHP-vs-NW caveat: LISA class counts should not be treated as stable in general.
"Disagreement synthesis (3-way), n_disagree=0..3 (POST-refit baseline)","3,948 / 792 / 1,234 / 62 (this session, pre-this-rerun, OpenBLAS)","3,948 / 792 / 1,234 / 62",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Entropy AHP: mean/max/class counts,"0.5049 / 0.7569 / 397,1892,3747","0.5049 / 0.7569 / 397,1892,3747",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Entropy NW: mean/max/class counts,"0.5265 / 0.7931 / 383,1671,3982","0.5265 / 0.7931 / 383,1671,3982",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Commuting agreement / kappa / functional centres,68.87% (146/212) / 0.6755 / 101,68.87% (146/212) / 0.6755 / 101,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
