section,metric,before,after,change,note
LISA class counts,AHP_vs_ML LL,820,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_ML HL,304,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_ML LH,87,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_ML not_significant,4487,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,NW_vs_ML HH,32,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,NW_vs_ML LL,831,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,NW_vs_ML HL,297,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,NW_vs_ML LH,61,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,NW_vs_ML not_significant,4815,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,MLAHP_vs_MLNW HH,743,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,MLAHP_vs_MLNW LL,448,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,MLAHP_vs_MLNW HL,240,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,MLAHP_vs_MLNW LH,119,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,MLAHP_vs_MLNW not_significant,4486,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
Disagreement synthesis (3-way) n_settlements,n_disagree=0,3884,3948,+64.0000,
Disagreement synthesis (3-way) share_pct,n_disagree=0,64.34724983432737,65.40755467196819,+1.0603,
Disagreement synthesis (3-way) n_settlements,n_disagree=1,727,792,+65.0000,
Disagreement synthesis (3-way) share_pct,n_disagree=1,12.04440026507621,13.121272365805169,+1.0769,
Disagreement synthesis (3-way) n_settlements,n_disagree=2,1347,1234,-113.0000,
Disagreement synthesis (3-way) share_pct,n_disagree=2,22.31610337972167,20.444002650762094,-1.8721,
Disagreement synthesis (3-way) n_settlements,n_disagree=3,78,62,-16.0000,
Disagreement synthesis (3-way) share_pct,n_disagree=3,1.2922465208747516,1.027170311464546,-0.2651,
Disagreement synthesis (4-way) n_settlements,n_disagree=0,3884,3948,+64.0000,
Disagreement synthesis (4-way) share_pct,n_disagree=0,64.34724983432737,65.40755467196819,+1.0603,
Disagreement synthesis (4-way) n_settlements,n_disagree=1,0,0,+0.0000,
Disagreement synthesis (4-way) share_pct,n_disagree=1,0.0,0.0,+0.0000,
Disagreement synthesis (4-way) n_settlements,n_disagree=2,1697,1711,+14.0000,
Disagreement synthesis (4-way) share_pct,n_disagree=2,28.114645460569914,28.346587143803845,+0.2319,
Disagreement synthesis (4-way) n_settlements,n_disagree=3,399,329,-70.0000,
Disagreement synthesis (4-way) share_pct,n_disagree=3,6.610337972166998,5.45062955599735,-1.1597,
Disagreement synthesis (4-way) n_settlements,n_disagree=4,56,48,-8.0000,
Disagreement synthesis (4-way) share_pct,n_disagree=4,0.927766732935719,0.7952286282306164,-0.1325,
RF(NW-target) catchment size,Ljubljana,176,270,+94.0000,
RF(NW-target) catchment size,Novo mesto,183,236,+53.0000,
RF(NW-target) catchment size,Maribor,194,168,-26.0000,
RF(NW-target) catchment size,Celje,154,121,-33.0000,
RF(NW-target) catchment size,Ptuj,157,202,+45.0000,
RF(NW-target) catchment size,Krško,147,156,+9.0000,
RF(NW-target) catchment size,Črnomelj,148,158,+10.0000,
RF(NW-target) catchment size,Brežice,122,125,+3.0000,
RF(NW-target) catchment size,Trebnje,165,165,+0.0000,
RF(NW-target) catchment size,Murska Sobota,111,138,+27.0000,
RF(NW-target) catchment size,Koper,112,111,-1.0000,
RF(NW-target) catchment size,Nova Gorica,82,82,+0.0000,
RF(NW-target) catchment size,Kranj,93,139,+46.0000,
RF(NW-target) catchment size,Sevnica,88,88,+0.0000,
RF(NW-target) catchment size,Slovenska Bistrica,83,108,+25.0000,
RF(NW-target) catchment size,Rogaška Slatina,89,70,-19.0000,
RF(NW-target) catchment size,Sežana,40,45,+5.0000,
RF(NW-target) catchment size,Litija,116,103,-13.0000,
RF(NW-target) catchment size,Ivančna Gorica,105,144,+39.0000,
RF(NW-target) catchment size,Kočevje,97,91,-6.0000,
RF(NW-target) catchment size,Kamnik,174,169,-5.0000,
RF(NW-target) catchment size,Ilirska Bistrica,77,80,+3.0000,
RF(NW-target) catchment size,Šentjur,94,115,+21.0000,
RF(NW-target) catchment size,Slovenske Konjice,105,68,-37.0000,
SHAP (both models),"fig08_shap_bar/summary, fig_shap_dependence_AHP/NW",AHP-only figures present (pre-refit),NOT REGENERATED,,"shap import itself crashes natively in this environment right now (scipy.linalg.inv() LAPACK crash, reproducible in isolation) -- see report. Not attempted for NW model at all; AHP figures on disk are stale (pre-refit run) though Model 1's feature set is unaffected by this refit so its SHAP values would likely be identical -- unverified."
