metric,manuscript_value,clean_rerun_value,match,notes
"Beta sensitivity, beta=2.5 vs beta=2 (agreement / kappa)",not itemized (range only),83.20% / kappa 0.8262,n/a,
"Beta sensitivity, beta=3.0 vs beta=2 (agreement / kappa)",not itemized (range only),73.82% / kappa 0.7321,n/a,
Beta sensitivity: kappa range across all beta,0.732 to 0.826,0.732 to 0.826,exact,
Euclidean vs network agreement,"88.4% (5,335/6,036)","88.39% (5,335/6,036)",exact,
Euclidean vs network Cohen's kappa,0.879,0.8785,exact,
RF AHP-target: mean R² ± sd,0.845 ± 0.088,0.8457 ± 0.0865,exact,
RF AHP-target: per-fold R²,not itemized,"0.8752, 0.9049, 0.8589, 0.8952, 0.6943",n/a,
RF NW-target: mean R² ± sd,0.844 ± 0.066,0.8397 ± 0.0637,close,0.5% off on the mean; the manuscript's exact --sample-frac for this run is not recorded in any saved artifact (see reproducibility_note.md) — this rerun used --sample-frac 1.0 (full sample) as instructed.
RF NW-target: per-fold R²,not itemized,"0.8616, 0.8782, 0.8339, 0.8923, 0.7327",n/a,
RF AHP-target feature importance by group,"Distance 62.54%, GI_AHP 22.83%, Accessibility 7.52%, Individual GI 6.38%, Municipality area 0.74%","Distance 62.53%, GI_AHP 22.69%, Accessibility 7.19%, Individual GI 6.84%, Municipality area 0.75%",close,Largest single difference: GI_AHP 22.83% -> 22.69% (0.14pp) and Accessibility 7.52% -> 7.19% (0.33pp).
RF NW-target feature importance by group,not reported in manuscript,"Distance 69.27%, GI_AHP 13.33%, Individual GI 8.39%, Accessibility 5.55%, Municipality area 3.45%",n/a,First time this breakdown has been produced; not in the manuscript to compare against.
Spatial CV block sizes (5 KMeans blocks),"52, 34, 24, 61, 41","61, 34, 23, 52, 42",close,"Same five block sizes to within 1 settlement each, in different block-ID order (KMeans seed=42 is deterministic given identical input, but not necessarily bit-identical across scipy/BLAS versions). Not argument-affecting."
AHP vs NW agreement,"88.6% (5,349/6,036)","88.62% (5,349/6,036)",exact,
AHP vs NW Cohen's kappa,not previously reported,0.8807,n/a,Newly added this stage per your request.
AHP vs ML agreement,"75.4% (4,551/6,036)","75.31% (4,546/6,036)",close,"CORRECTED after this stage's reproducibility check: the value originally recorded here was read by 10_morans_i.py before 12_export_outputs.py had rebuilt the AHP-vs-ML/NW-vs-ML comparison maps in this session's Stage 2B run — it reflects the pre-existing map still on disk from before this remediation (confirmed by exact match to outputs_archive_pre_rerun/), not this rerun's own RF output. Re-verified reproducible to the byte across two further runs."
AHP vs ML Cohen's kappa,not previously reported,0.7472,n/a,"CORRECTED after this stage's reproducibility check: the value originally recorded here was read by 10_morans_i.py before 12_export_outputs.py had rebuilt the AHP-vs-ML/NW-vs-ML comparison maps in this session's Stage 2B run — it reflects the pre-existing map still on disk from before this remediation (confirmed by exact match to outputs_archive_pre_rerun/), not this rerun's own RF output. Re-verified reproducible to the byte across two further runs."
NW vs ML agreement,"77.4% (4,672/6,036)","75.51% (4,558/6,036)",differs,"CORRECTED (see AHP vs ML note above, same cause). Originally reported as an exact match to the manuscript's 77.4%/4,672 — that was the pre-existing map's own number, not this rerun's. The actual rerun value is a real, if modest, difference: 77.4% -> 75.51%. Digit-level, not argument-affecting on its own, but should not be cited as confirmed reproduction."
NW vs ML Cohen's kappa,not previously reported,0.7511,n/a,"CORRECTED after this stage reproducibility check: originally recorded 0.7703, read from a pre-existing map still on disk before this session Stage 2B rebuilt it (same cause as the AHP-vs-ML/NW-vs-ML agreement corrections above). Re-verified reproducible across two further runs."
"Moran's I, AHP vs NW (I / z)",0.184 / 24.18,0.1838 / 23.68,exact (I); close (z),"z is a permutation estimate (999 permutations, seed=42) and fluctuates run to run by design; I is deterministic and exact."
"Moran's I, AHP vs ML (I / z)",0.451 / 59.55,0.4725 / 63.71,differs,"CORRECTED after this stage's reproducibility check: the value originally recorded here was read by 10_morans_i.py before 12_export_outputs.py had rebuilt the AHP-vs-ML/NW-vs-ML comparison maps in this session's Stage 2B run — it reflects the pre-existing map still on disk from before this remediation (confirmed by exact match to outputs_archive_pre_rerun/), not this rerun's own RF output. Re-verified reproducible to the byte across two further runs. The corrected I (0.4725) is 4.8% off the manuscript's 0.451, not an exact match as originally (wrongly) recorded."
"Moran's I, NW vs ML (I / z)",0.447 / 57.40,0.4452 / 55.78,exact (I); close (z),"Corrected I value; negligibly different from the figure originally recorded here (0.4473 -> 0.4452), both close to the manuscript's 0.447. z fluctuation caveat applies as before."
LISA AHP vs ML cluster counts,"706 LL, 255 HL, 116 LH, 1,077 significant","HH=642, LL=907, HL=0, LH=0, 1,549 significant",differs — structural,"CORRECTED after this stage's reproducibility check: the value originally recorded here was read by 10_morans_i.py before 12_export_outputs.py had rebuilt the AHP-vs-ML/NW-vs-ML comparison maps in this session's Stage 2B run — it reflects the pre-existing map still on disk from before this remediation (confirmed by exact match to outputs_archive_pre_rerun/), not this rerun's own RF output. Re-verified reproducible to the byte across two further runs. Structural finding stands regardless of the correction: the manuscript's HL/LH categories still don't exist in the data. But the HH/LL split itself also changed materially (was HH=187/LL=860, now HH=642/LL=907) — the pre-existing map and this session's rerun disagree substantially on which settlements cluster, not just on whether HL/LH exist."
LISA AHP vs NW cluster counts,not previously stated,"HH=1731, LL=458, HL=0, LH=0, not_sig=3847",n/a,
LISA NW vs ML cluster counts,not previously stated,"HH=329, LL=892, HL=0, LH=0, 1,221 significant",n/a,"CORRECTED after this stage's reproducibility check: the value originally recorded here was read by 10_morans_i.py before 12_export_outputs.py had rebuilt the AHP-vs-ML/NW-vs-ML comparison maps in this session's Stage 2B run — it reflects the pre-existing map still on disk from before this remediation (confirmed by exact match to outputs_archive_pre_rerun/), not this rerun's own RF output. Re-verified reproducible to the byte across two further runs. Originally recorded as HH=892/LL=746 (the pre-existing map); the correct current value has HH and LL roughly swapped in magnitude."
"Join counts (BB/WW/BW, all 3 comparisons)",not previously stated,"AHP_vs_NW: BB=14281 WW=525 BW=2939 (chi2=510.7); AHP_vs_ML: BB=11499 WW=2519 BW=3727 (chi2=3360.5); NW_vs_ML: BB=11907 WW=2281 BW=3557 (chi2=3308.2), all p<0.001",n/a,
Entropy AHP: mean / max / class counts (low/med/high),"0.505 / 0.801 / 397,1891,3748","0.5049 / 0.7569 / 397,1892,3747",close,Mean matches to 3 decimals; max is 5.5% lower (0.757 vs 0.801) — consistent with fewer villages landing on degenerate near-uniform Pij distributions now that more OD pairs are genuinely reachable rather than column-max-filled. Worth checking if the manuscript discusses the maximum-entropy case specifically.
Entropy NW: mean / max / class counts (low/med/high),"0.527 / 0.847 / 383,1670,3983","0.5265 / 0.7931 / 383,1671,3982",close,"Same pattern, 6.4% lower max."
Commuting agreement,68.9% (146/212),68.87% (146/212),exact,
Commuting Cohen's kappa,0.676,0.6755,exact,
Commuting functional centres (self-flow),101,101,exact,
